;;;;;;Procurement Monthly Report;;;;;;;;;;;;;;;;;
Parameters;;;;;;;;;;;;;;;;;;;;;;;
Approved PR From Date;;;;;01/01/2024;;Approved PR to Date;;;31/01/2024;;;;;;;;;;;;;
Approved PO From Date;;;;;01/01/2024;;Approved PO to Date;;;31/01/2024;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
PR TYPE;;;General;;Technical;;Total PR (PO);;;;;;;;;;;;;;;;
;;;57;;111;;168;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Urgent Type;;;AOG;;Urgent;;Normal;None;;;;;;;;;;;;;;;
;;;31;;63;;28;46;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
PO Types;;;Single Source;;Competitive;;Sole Source;Direct Purchase;;;;;;;;;;;;;;;
;;;4;;30;;34;100;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Variation PO;;;PO Number;;Percentage of Total PO %;;Total Diff (SAR);;;;;;;;;;;;;;;;
;;;158;;59%;;-30,877,009.68;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Purchase Requisition No.;;;Purchase Order No.;;Department;;PR Amount (SAR);PO Amount (SAR);Diff Amount (SAR);PO Variation %;Savings;PO Status;Approved PO Date;Approved PR Date;Days;PR Type;PO Types;PO Discerption;Vendor name;Payments terms;;;
;;;;;;;;;;;(SAR;;;;;;;;;;;;
PR-240072;;;PO-240071;;?Operation?;;14,307.45;10,830.52;-11,420.39;-80%;;?Open?;01/09/2024;01/07/2024;2;Technical;Direct Purchase ;NEW CATALOG from request of 2024 AW139 Spares Planning & Efficiency Check - Expendables & Consumables + 48M Part 6.;Boeing Distribution Services Inc. ;Net 30;;;
PR-240011;;;PO-240073;;?Operation?;;1,200.00;1,200.00;0;0%;;?Closed?;18/01/2024;01/08/2024;10;Technical;Direct Purchase ;URGENT / SEND FOR CALIBRATION.;GCC Lab for Calibration Services ;Net 30;;;
PR-233804;;;PO-240074;;?Operation?;;500;0;-500;-100%;;?Open?;01/09/2024;01/07/2024;2;Technical;Direct Purchase ;Urgent / Send for calibration.;GCC Lab for Calibration Services ;Net 30;;;
PR-240061;;;PO-240075;;?Operation?;;5,300.00;5,300.00;0;0%;;?Open?;01/09/2024;01/07/2024;2;Technical;Direct Purchase ;URGENT / SEND FOR OVERHAUL.AC: H145/HZ-RC53;first class aviation services ;Net 30;;;
PR-240019;;;PO-240076;;?Operation?;;4,000.00;4,000.00;0;0%;;?Closed?;01/09/2024;01/07/2024;2;Technical;Direct Purchase ;"URGENT / SEND for ""TOP CHARGE"" AC: HZ-HC7/AW139";first class aviation services ;Net 30;;;
PR-240021;;;PO-240077;;?Operation?;;0;0;0;0%;;?Closed For Receiving?;01/09/2024;01/07/2024;2;Technical;Direct Purchase ;PR Priority: NORMALModel of aircraft: AW139/TSN: 184:22A/C Registration number: HZ-RC9/MSN:32016Reason: MGB oil filter CASDescription of requirement: WARRANTY;Leonardo S.P.A ;Net 30;;;
PR-240037;;;PO-240078;;?Operation?;;2,500.00;2,500.00;0;0%;;?Closed?;01/11/2024;01/07/2024;4;Technical;Direct Purchase ;URGENT / SEND FOR INSPECTION/RECERTIFICATION.;Alpha Star Aviation Services ;Net 30;;;
PR-240069;;;PO-240081;;?Operation?;;5,118.60;1,947.91;-4,599.35;-90%;;?Closed For Receiving?;01/09/2024;01/07/2024;2;Technical;Direct Purchase ;NEW CATALOG from request of 2024 AW139 Spares Planning & Efficiency Check - Expendables & Consumables + 48M Part 3.;Boeing Distribution Services Inc. ;Net 30;;;
PR-240070;;;PO-240084;;?Operation?;;776.1;707.03;-587.63;-76%;;?Closed For Receiving?;01/09/2024;01/07/2024;2;Technical;Direct Purchase ;NEW CATALOG from request of 2024 AW139 Spares Planning & Efficiency Check - Expendables & Consumables + 48M Part 5.;Boeing Distribution Services Inc. ;Net 30;;;
PR-240068;;;PO-240085;;?Operation?;;5,760.44;2,134.36;-5,191.49;-90%;;?Closed For Receiving?;01/10/2024;01/07/2024;3;Technical;Direct Purchase ;NEW CATALOG from request of 2024 AW139 Spares Planning & Efficiency Check - Expendables & Consumables + 48M Part 2.;Boeing Distribution Services Inc. ;Net 30;;;
PR-240080;;;PO-240087;;?Operation?;;103,491.51;103,527.39;-75,894.51;-73%;;?Closed?;25/01/2024;01/07/2024;18;Technical;Sole Source ;This is to purchase the quantity's from SKYTRAC CS stock and to process the outstanding Invoice No. 63063 / Date 2/28/2023.;Skytrac ;Net 30;;;
PR-240018;;;PO-240089;;?Operation?;;765;296.36;-686;-90%;;?Closed For Receiving?;01/10/2024;01/07/2024;3;Technical;Direct Purchase ;Normal / Consumables parts for SKYTRAC EO.;Boeing Distribution Services Inc. ;Net 30;;;
PR-240116;;;PO-240090;;?Operation?;;2,000.00;2,000.00;0;0%;;?Closed?;01/10/2024;01/09/2024;1;Technical;Direct Purchase ;Decals use for Al-Hilal.;al-shawaf int`l co. ;Net 30;;;
PR-233724;;;PO-240091;;?Operation?;;12,817.39;12,817.39;0;0%;;?Closed?;01/09/2024;01/09/2024;0;Technical;Direct Purchase ;To cover the costs of the driver of the mobile workshop assigned to the back-to-back missions.;???? ???? ????? ???????? ;Immediate;;;
PR-240117;;;PO-240092;;?Operation?;;3,051.00;2,851.06;-2,291.00;-75%;;?Closed?;01/10/2024;01/09/2024;1;Technical;Direct Purchase ;Oil for H125 to replenish stock before 22 Jan 2024. Shelf-life 80% or 3yrs.;CAMBER AEROPARTS FZE ;Net 30;;;
PR-240020;;;PO-240093;;?Operation?;;0;0;0;0%;;?Closed For Receiving?;01/10/2024;01/07/2024;3;Technical;Direct Purchase ;PR Priority: NORMALModel of aircraft: AW139/ TSN: 129:12A/C Registration number: HZ-HC23/MSN:31984Reason: Battery voltage lowDescription of requirement: WARRANTY;Leonardo S.P.A ;Net 30;;;
PR-240050;;;PO-240094;;?Operation?;;0;0;0;0%;;?Closed For Receiving?;01/10/2024;01/09/2024;1;Technical;Direct Purchase ;PR Priority: AOG Model of aircraft: AW139 / TSN: 232:19 A/C Registration number: HZ-HC22/MSN:31979 Reason of Request: Rad Alt Height on ground wrong value and not accepting adjustments. Description of requirement: WARRANTY;HONEYWELL INERNATIONAL ;Net 30;;;
